項目名稱,單項可製作份數,食譜/菜單資料庫,食材資料庫管理 (Ingredient Database),食材庫存量,使用數量(克),食材單位成本,項目成本
鹽味翅小腿-魚露,10,鹽味翅小腿 (https://www.notion.so/237fd5adc30b80c48bc5ca3422716240?pvs=21),魚露 (https://www.notion.so/237fd5adc30b804ea6f1c2bc6324a158?pvs=21),2100,200,0.06,12
鹽味翅小腿-雞粉,13,鹽味翅小腿 (https://www.notion.so/237fd5adc30b80c48bc5ca3422716240?pvs=21),雞粉 (https://www.notion.so/237fd5adc30b80f8acd3d9bd1266e979?pvs=21),200,15,0.25,3.75
鹽味翅小腿-黑胡椒,0,鹽味翅小腿 (https://www.notion.so/237fd5adc30b80c48bc5ca3422716240?pvs=21),黑胡椒 (https://www.notion.so/237fd5adc30b8065839fec23d899e662?pvs=21),0,20,0.733,14.66
鹽味翅小腿-翅小腿,0,鹽味翅小腿 (https://www.notion.so/237fd5adc30b80c48bc5ca3422716240?pvs=21),翅小腿 (https://www.notion.so/237fd5adc30b80cfb1a5cf885a28ee55?pvs=21),0,6000,0.097,582
早餐豬肉丸-豬絞肉,12,早餐豬肉丸 (https://www.notion.so/237fd5adc30b8050a397d6b84f727ad2?pvs=21),豬絞肉 (https://www.notion.so/237fd5adc30b806793f6f97371ef65ff?pvs=21),3000,250,0.158,39.5
早餐豬肉丸-美極鮮味露,66,早餐豬肉丸 (https://www.notion.so/237fd5adc30b8050a397d6b84f727ad2?pvs=21),美極鮮味露 (https://www.notion.so/237fd5adc30b800ab164c3ad1386d09e?pvs=21),1000,15,0.256,3.84
早餐豬肉丸-魚露,262,早餐豬肉丸 (https://www.notion.so/237fd5adc30b8050a397d6b84f727ad2?pvs=21),魚露 (https://www.notion.so/237fd5adc30b804ea6f1c2bc6324a158?pvs=21),2100,8,0.06,0.48
早餐豬肉丸-白胡椒,16,早餐豬肉丸 (https://www.notion.so/237fd5adc30b8050a397d6b84f727ad2?pvs=21),白胡椒 (https://www.notion.so/237fd5adc30b8026939cfc494f13cd02?pvs=21),50,3,0.5,1.5
早餐豬肉丸-紅糖,180,早餐豬肉丸 (https://www.notion.so/237fd5adc30b8050a397d6b84f727ad2?pvs=21),紅糖 (https://www.notion.so/237fd5adc30b80d79ccff1d9efa36a8e?pvs=21),1800,10,0.033,0.33
酸辣湯底-檸檬汁,16,酸辣湯底 (https://www.notion.so/237fd5adc30b8009bbd4d8ffe67122c9?pvs=21),檸檬汁 (https://www.notion.so/237fd5adc30b8055a1c3ef43c5dd436d?pvs=21),1600,100,0.156,15.6
酸辣湯底-番茄,0,酸辣湯底 (https://www.notion.so/237fd5adc30b8009bbd4d8ffe67122c9?pvs=21),番茄 (https://www.notion.so/237fd5adc30b805fb854f71ee29ed3e4?pvs=21),0,300,0.167,50.1
酸辣湯底-羅望子,27,酸辣湯底 (https://www.notion.so/237fd5adc30b8009bbd4d8ffe67122c9?pvs=21),羅望子 (https://www.notion.so/237fd5adc30b80a7bc16c80d0a520b4a?pvs=21),1360,50,0.159,7.95
酸辣湯底-辣椒膏,7,酸辣湯底 (https://www.notion.so/237fd5adc30b8009bbd4d8ffe67122c9?pvs=21),辣椒膏 (https://www.notion.so/237fd5adc30b80e3a057cbfaa60867c3?pvs=21),500,70,0.38,26.6
酸辣湯底-水,40,酸辣湯底 (https://www.notion.so/237fd5adc30b8009bbd4d8ffe67122c9?pvs=21),水 (https://www.notion.so/237fd5adc30b80389212cdf897237122?pvs=21),200000,5000,0.001,5
酸辣湯底-洋蔥,2,酸辣湯底 (https://www.notion.so/237fd5adc30b8009bbd4d8ffe67122c9?pvs=21),洋蔥 (https://www.notion.so/237fd5adc30b8084a750d06564ef0fb1?pvs=21),1000,400,0.05,20
酸辣湯底-味精,0,酸辣湯底 (https://www.notion.so/237fd5adc30b8009bbd4d8ffe67122c9?pvs=21),味精 (https://www.notion.so/237fd5adc30b80918b36d27aaddc911e?pvs=21),0,10,0,0
酸辣湯底-紅糖,36,酸辣湯底 (https://www.notion.so/237fd5adc30b8009bbd4d8ffe67122c9?pvs=21),紅糖 (https://www.notion.so/237fd5adc30b80d79ccff1d9efa36a8e?pvs=21),1800,50,0.033,1.65
酸辣湯底-蒜仁,7,酸辣湯底 (https://www.notion.so/237fd5adc30b8009bbd4d8ffe67122c9?pvs=21),蒜仁 (https://www.notion.so/237fd5adc30b80bc94e9cc31471d8928?pvs=21),600,80,0.167,13.36
酸辣湯底-香茅乾,5,酸辣湯底 (https://www.notion.so/237fd5adc30b8009bbd4d8ffe67122c9?pvs=21),香茅乾 (https://www.notion.so/238fd5adc30b80998836c2b864bbf5ea?pvs=21),100,20,0.4,8
酸辣湯底-大辣椒,12,酸辣湯底 (https://www.notion.so/237fd5adc30b8009bbd4d8ffe67122c9?pvs=21),大辣椒 (https://www.notion.so/237fd5adc30b805b8b3eca63d4d9960f?pvs=21),600,50,0.15,7.5
酸辣湯底-檸檬葉乾,7,酸辣湯底 (https://www.notion.so/237fd5adc30b8009bbd4d8ffe67122c9?pvs=21),"檸檬葉乾 (https://www.notion.so/238fd5adc30b80df9498c09449b13443?pvs=21), 香茅乾 (https://www.notion.so/238fd5adc30b80998836c2b864bbf5ea?pvs=21)",150,20,1.3,26
酸辣湯底-南薑乾,5,酸辣湯底 (https://www.notion.so/237fd5adc30b8009bbd4d8ffe67122c9?pvs=21),南薑乾 (https://www.notion.so/237fd5adc30b80c887e4f4bd0118c757?pvs=21),100,20,0.4,8
酸辣湯底-魚露,30,酸辣湯底 (https://www.notion.so/237fd5adc30b8009bbd4d8ffe67122c9?pvs=21),魚露 (https://www.notion.so/237fd5adc30b804ea6f1c2bc6324a158?pvs=21),2100,70,0.06,4.2
酸辣湯底-酸辣湯塊,5,酸辣湯底 (https://www.notion.so/237fd5adc30b8009bbd4d8ffe67122c9?pvs=21),酸辣湯塊 (https://www.notion.so/237fd5adc30b8004ae6df274d914f337?pvs=21),300,55,0.545,29.975
泰式奶茶-紅茶粉,53,泰式奶茶 (https://www.notion.so/237fd5adc30b80809cd4c1defe44a991?pvs=21),手標紅茶粉 (https://www.notion.so/237fd5adc30b80349c99cc8b38f018fe?pvs=21),800,15,0.345,5.175
泰式奶茶-煉乳,66,泰式奶茶 (https://www.notion.so/237fd5adc30b80809cd4c1defe44a991?pvs=21),煉乳 (https://www.notion.so/237fd5adc30b809d93cac83ecc594312?pvs=21),2000,30,0.09,2.7
泰式奶茶-奶水,100,泰式奶茶 (https://www.notion.so/237fd5adc30b80809cd4c1defe44a991?pvs=21),奶水 (https://www.notion.so/237fd5adc30b803f92e9f723de301e2c?pvs=21),2000,20,0.093,1.86
泰式奶茶-白砂糖,100,泰式奶茶 (https://www.notion.so/237fd5adc30b80809cd4c1defe44a991?pvs=21),白砂糖 (https://www.notion.so/237fd5adc30b8018a0cde4b20fd93373?pvs=21),3000,30,0.037,1.11
泰式奶茶-水,1000,泰式奶茶 (https://www.notion.so/237fd5adc30b80809cd4c1defe44a991?pvs=21),水 (https://www.notion.so/237fd5adc30b80389212cdf897237122?pvs=21),200000,200,0.001,0.2
炸春捲-芋頭,0,炸春捲 (https://www.notion.so/237fd5adc30b80cdaaf8c77a600ef1ae?pvs=21),芋頭 (https://www.notion.so/237fd5adc30b803f8ab3e0f1d4e84fd2?pvs=21),0,500,0.117,58.5
炸春捲-豬絞肉,6,炸春捲 (https://www.notion.so/237fd5adc30b80cdaaf8c77a600ef1ae?pvs=21),豬絞肉 (https://www.notion.so/237fd5adc30b806793f6f97371ef65ff?pvs=21),3000,500,0.158,79
炸春捲-洋蔥,9,炸春捲 (https://www.notion.so/237fd5adc30b80cdaaf8c77a600ef1ae?pvs=21),洋蔥 (https://www.notion.so/237fd5adc30b8084a750d06564ef0fb1?pvs=21),1000,110,0.05,5.5
炸春捲-青蔥,0,炸春捲 (https://www.notion.so/237fd5adc30b80cdaaf8c77a600ef1ae?pvs=21),青蔥 (https://www.notion.so/237fd5adc30b80459aecc31b80493c94?pvs=21),0,20,0.25,5
炸春捲-紅糖,360,炸春捲 (https://www.notion.so/237fd5adc30b80cdaaf8c77a600ef1ae?pvs=21),紅糖 (https://www.notion.so/237fd5adc30b80d79ccff1d9efa36a8e?pvs=21),1800,5,0.033,0.165
炸春捲-魚露,84,炸春捲 (https://www.notion.so/237fd5adc30b80cdaaf8c77a600ef1ae?pvs=21),魚露 (https://www.notion.so/237fd5adc30b804ea6f1c2bc6324a158?pvs=21),2100,25,0.06,1.5
炸春捲-黑胡椒,0,炸春捲 (https://www.notion.so/237fd5adc30b80cdaaf8c77a600ef1ae?pvs=21),黑胡椒 (https://www.notion.so/237fd5adc30b8065839fec23d899e662?pvs=21),0,8,0.733,5.864
炸春捲-鹽,0,炸春捲 (https://www.notion.so/237fd5adc30b80cdaaf8c77a600ef1ae?pvs=21),鹽 (https://www.notion.so/237fd5adc30b80c9a302e80a3cb65902?pvs=21),0,0.8,0.008,0.0064
炸春捲-春捲皮,0,炸春捲 (https://www.notion.so/237fd5adc30b80cdaaf8c77a600ef1ae?pvs=21),春捲皮 (https://www.notion.so/237fd5adc30b80399f2ef6e7c1968ad1?pvs=21),0,320,0.104,33.28
馬努拉蝦片-蝦片,53,馬努拉蝦片 (https://www.notion.so/237fd5adc30b805a9053d7fb782e181c?pvs=21),馬努拉蝦片 (https://www.notion.so/237fd5adc30b80a48b9ad7ea6a394f70?pvs=21),1600,30,0.275,8.25
經典帕泰-河粉,83,經典帕泰 (https://www.notion.so/237fd5adc30b80339749c140acade526?pvs=21),澱粉條505 (https://www.notion.so/505-237fd5adc30b8094b3a0d3820a3359ed?pvs=21),10000,120,0.094,11.28
經典帕泰-豆芽菜,15,經典帕泰 (https://www.notion.so/237fd5adc30b80339749c140acade526?pvs=21),豆芽菜 (https://www.notion.so/237fd5adc30b8041afe9eca60656107a?pvs=21),1200,80,0.02,1.6
經典帕泰-韭菜,15,經典帕泰 (https://www.notion.so/237fd5adc30b80339749c140acade526?pvs=21),韭菜 (https://www.notion.so/237fd5adc30b8089af27db55a0a0e34a?pvs=21),300,20,0.067,1.34
經典帕泰-豆干,13,經典帕泰 (https://www.notion.so/237fd5adc30b80339749c140acade526?pvs=21),豆干 (https://www.notion.so/237fd5adc30b801e9394c2ae6880938d?pvs=21),800,60,0.053,3.18
經典帕泰-菜脯,120,經典帕泰 (https://www.notion.so/237fd5adc30b80339749c140acade526?pvs=21),菜脯 (https://www.notion.so/237fd5adc30b809b923bdabf5c9bf608?pvs=21),600,5,0.067,0.335
經典帕泰-雞蛋,76,經典帕泰 (https://www.notion.so/237fd5adc30b80339749c140acade526?pvs=21),雞蛋 (https://www.notion.so/237fd5adc30b806d9cf7fa4a4bc5ac10?pvs=21),5000,65,0.072,4.68
經典帕泰-蝦米,150,經典帕泰 (https://www.notion.so/237fd5adc30b80339749c140acade526?pvs=21),蝦米 (https://www.notion.so/237fd5adc30b8072bcf2c22acb42b884?pvs=21),600,4,0.467,1.868
經典綠咖哩醬-綠咖哩醬,2,經典綠咖哩醬 (https://www.notion.so/237fd5adc30b80f0916ed24ca445c4d0?pvs=21),綠咖哩(有心) (https://www.notion.so/237fd5adc30b803e8a6ec71bbfb6669e?pvs=21),500,200,0.15,30
經典綠咖哩醬-紅蔥頭,14,經典綠咖哩醬 (https://www.notion.so/237fd5adc30b80f0916ed24ca445c4d0?pvs=21),紅葱穗 (https://www.notion.so/237fd5adc30b804c950fd31a3d27e9c5?pvs=21),700,50,0.167,8.35
經典綠咖哩醬-蒜仁,12,經典綠咖哩醬 (https://www.notion.so/237fd5adc30b80f0916ed24ca445c4d0?pvs=21),蒜仁 (https://www.notion.so/237fd5adc30b80bc94e9cc31471d8928?pvs=21),600,50,0.167,8.35
經典綠咖哩醬-木耳,5,經典綠咖哩醬 (https://www.notion.so/237fd5adc30b80f0916ed24ca445c4d0?pvs=21),木耳 (https://www.notion.so/237fd5adc30b803d9dbee96752957f65?pvs=21),500,100,0.15,15
經典綠咖哩醬-杏鮑菇,3,經典綠咖哩醬 (https://www.notion.so/237fd5adc30b80f0916ed24ca445c4d0?pvs=21),杏鮑菇 (https://www.notion.so/237fd5adc30b80d5bc19dc90e7299ed9?pvs=21),600,200,0.133,26.6
經典綠咖哩醬-紅糖,45,經典綠咖哩醬 (https://www.notion.so/237fd5adc30b80f0916ed24ca445c4d0?pvs=21),紅糖 (https://www.notion.so/237fd5adc30b80d79ccff1d9efa36a8e?pvs=21),1800,40,0.033,1.32
經典綠咖哩醬-椰漿粉,2,經典綠咖哩醬 (https://www.notion.so/237fd5adc30b80f0916ed24ca445c4d0?pvs=21),綠咖哩(有心) (https://www.notion.so/237fd5adc30b803e8a6ec71bbfb6669e?pvs=21),500,200,0.15,30
經典綠咖哩醬-雞粉,10,經典綠咖哩醬 (https://www.notion.so/237fd5adc30b80f0916ed24ca445c4d0?pvs=21),雞粉 (https://www.notion.so/237fd5adc30b80f8acd3d9bd1266e979?pvs=21),200,20,0.25,5
經典綠咖哩醬-南薑乾,5,經典綠咖哩醬 (https://www.notion.so/237fd5adc30b80f0916ed24ca445c4d0?pvs=21),南薑乾 (https://www.notion.so/237fd5adc30b80c887e4f4bd0118c757?pvs=21),100,20,0.4,8
經典綠咖哩醬-檸檬葉乾,5,經典綠咖哩醬 (https://www.notion.so/237fd5adc30b80f0916ed24ca445c4d0?pvs=21),檸檬葉乾 (https://www.notion.so/238fd5adc30b80df9498c09449b13443?pvs=21),50,10,0.9,9
經典綠咖哩醬-水,666,經典綠咖哩醬 (https://www.notion.so/237fd5adc30b80f0916ed24ca445c4d0?pvs=21),水 (https://www.notion.so/237fd5adc30b80389212cdf897237122?pvs=21),200000,300,0.001,0.3
經典綠咖哩醬-竹筍,1,經典綠咖哩醬 (https://www.notion.so/237fd5adc30b80f0916ed24ca445c4d0?pvs=21),竹筍 (https://www.notion.so/237fd5adc30b800ea2bcf3216b608948?pvs=21),200,200,0.133,26.6
經典綠咖哩醬-洋蔥,5,經典綠咖哩醬 (https://www.notion.so/237fd5adc30b80f0916ed24ca445c4d0?pvs=21),洋蔥 (https://www.notion.so/237fd5adc30b8084a750d06564ef0fb1?pvs=21),1000,200,0.05,10
經典綠咖哩醬-魚露,70,經典綠咖哩醬 (https://www.notion.so/237fd5adc30b80f0916ed24ca445c4d0?pvs=21),魚露 (https://www.notion.so/237fd5adc30b804ea6f1c2bc6324a158?pvs=21),2100,30,0.06,1.8
Laab羊-羊肉片,3,Laab羊 (https://www.notion.so/Laab-237fd5adc30b80d0b1b4db5ed5dc0f5b?pvs=21),"羊肉片 (https://www.notion.so/237fd5adc30b80f28a28fd7452c17574?pvs=21), 肋條肉 (https://www.notion.so/238fd5adc30b8097b7cec9f3475f0a74?pvs=21)",600,200,0.52,104
Laab羊-檸檬汁,53,Laab羊 (https://www.notion.so/Laab-237fd5adc30b80d0b1b4db5ed5dc0f5b?pvs=21),檸檬汁 (https://www.notion.so/237fd5adc30b8055a1c3ef43c5dd436d?pvs=21),1600,30,0.156,4.68
Laab羊-魚露,105,Laab羊 (https://www.notion.so/Laab-237fd5adc30b80d0b1b4db5ed5dc0f5b?pvs=21),魚露 (https://www.notion.so/237fd5adc30b804ea6f1c2bc6324a158?pvs=21),2100,20,0.06,1.2
Laab羊-辣椒,20,Laab羊 (https://www.notion.so/Laab-237fd5adc30b80d0b1b4db5ed5dc0f5b?pvs=21),大辣椒 (https://www.notion.so/237fd5adc30b805b8b3eca63d4d9960f?pvs=21),600,30,0.15,4.5
Laab羊-洋蔥,20,Laab羊 (https://www.notion.so/Laab-237fd5adc30b80d0b1b4db5ed5dc0f5b?pvs=21),洋蔥 (https://www.notion.so/237fd5adc30b8084a750d06564ef0fb1?pvs=21),1000,50,0.05,2.5
Laab羊-紅蔥頭,23,Laab羊 (https://www.notion.so/Laab-237fd5adc30b80d0b1b4db5ed5dc0f5b?pvs=21),紅葱穗 (https://www.notion.so/237fd5adc30b804c950fd31a3d27e9c5?pvs=21),700,30,0.167,5.01
Laab羊-羅望子,68,Laab羊 (https://www.notion.so/Laab-237fd5adc30b80d0b1b4db5ed5dc0f5b?pvs=21),羅望子 (https://www.notion.so/237fd5adc30b80a7bc16c80d0a520b4a?pvs=21),1360,20,0.159,3.18
Laab羊-紅糖,36,Laab羊 (https://www.notion.so/Laab-237fd5adc30b80d0b1b4db5ed5dc0f5b?pvs=21),紅糖 (https://www.notion.so/237fd5adc30b80d79ccff1d9efa36a8e?pvs=21),1800,50,0.033,1.65
Laab羊-青蔥,0,Laab羊 (https://www.notion.so/Laab-237fd5adc30b80d0b1b4db5ed5dc0f5b?pvs=21),青蔥 (https://www.notion.so/237fd5adc30b80459aecc31b80493c94?pvs=21),0,30,0.25,7.5
泰式奶綠-煉乳,66,泰式奶綠 (https://www.notion.so/237fd5adc30b800a9540e908077a9cc1?pvs=21),煉乳 (https://www.notion.so/237fd5adc30b809d93cac83ecc594312?pvs=21),2000,30,0.09,2.7
泰式奶綠-奶水,100,泰式奶綠 (https://www.notion.so/237fd5adc30b800a9540e908077a9cc1?pvs=21),奶水 (https://www.notion.so/237fd5adc30b803f92e9f723de301e2c?pvs=21),2000,20,0.093,1.86
泰式奶綠-水,1000,泰式奶綠 (https://www.notion.so/237fd5adc30b800a9540e908077a9cc1?pvs=21),水 (https://www.notion.so/237fd5adc30b80389212cdf897237122?pvs=21),200000,200,0.001,0.2
泰式奶綠-白砂糖,100,泰式奶綠 (https://www.notion.so/237fd5adc30b800a9540e908077a9cc1?pvs=21),白砂糖 (https://www.notion.so/237fd5adc30b8018a0cde4b20fd93373?pvs=21),3000,30,0.037,1.11
泰式奶綠-奶綠粉,66,泰式奶綠 (https://www.notion.so/237fd5adc30b800a9540e908077a9cc1?pvs=21),手標綠茶 (https://www.notion.so/237fd5adc30b80f28a04c7a1f4fe55ef?pvs=21),1000,15,0.6,9
泰式檸檬茶-紅茶葉,53,泰式檸檬茶 (https://www.notion.so/237fd5adc30b80f1a536d30d68f2ea3c?pvs=21),手標紅茶粉 (https://www.notion.so/237fd5adc30b80349c99cc8b38f018fe?pvs=21),800,15,0.345,5.175
泰式檸檬茶-白砂糖,50,泰式檸檬茶 (https://www.notion.so/237fd5adc30b80f1a536d30d68f2ea3c?pvs=21),白砂糖 (https://www.notion.so/237fd5adc30b8018a0cde4b20fd93373?pvs=21),3000,60,0.037,2.22
泰式檸檬茶-檸檬汁,53,泰式檸檬茶 (https://www.notion.so/237fd5adc30b80f1a536d30d68f2ea3c?pvs=21),檸檬汁 (https://www.notion.so/237fd5adc30b8055a1c3ef43c5dd436d?pvs=21),1600,30,0.156,4.68
泰式檸檬茶-水,1000,泰式檸檬茶 (https://www.notion.so/237fd5adc30b80f1a536d30d68f2ea3c?pvs=21),水 (https://www.notion.so/237fd5adc30b80389212cdf897237122?pvs=21),200000,200,0.001,0.2
經典國寶茶-國寶茶葉,70,經典國寶茶 (https://www.notion.so/237fd5adc30b809b8cd4f61e3d5db55a?pvs=21),國寶茶 (https://www.notion.so/237fd5adc30b80808133e3b714d6dcad?pvs=21),700,10,0,0
經典國寶茶-羅漢果,30,經典國寶茶 (https://www.notion.so/237fd5adc30b809b8cd4f61e3d5db55a?pvs=21),"羅漢果 (https://www.notion.so/237fd5adc30b808f8d83ee5693714af6?pvs=21), 嫩精 (https://www.notion.so/238fd5adc30b80109005e1ef5a2d3211?pvs=21)",300,10,0.211,2.11
經典國寶茶-水,1000,經典國寶茶 (https://www.notion.so/237fd5adc30b809b8cd4f61e3d5db55a?pvs=21),水 (https://www.notion.so/237fd5adc30b80389212cdf897237122?pvs=21),200000,200,0.001,0.2
泰式傳統咖啡-水,1000,泰式傳統咖啡 (https://www.notion.so/237fd5adc30b8013ae31f9121dde26f5?pvs=21),水 (https://www.notion.so/237fd5adc30b80389212cdf897237122?pvs=21),200000,200,0.001,0.2
泰式傳統咖啡-煉乳,66,泰式傳統咖啡 (https://www.notion.so/237fd5adc30b8013ae31f9121dde26f5?pvs=21),煉乳 (https://www.notion.so/237fd5adc30b809d93cac83ecc594312?pvs=21),2000,30,0.09,2.7
泰式傳統咖啡-奶水,100,泰式傳統咖啡 (https://www.notion.so/237fd5adc30b8013ae31f9121dde26f5?pvs=21),奶水 (https://www.notion.so/237fd5adc30b803f92e9f723de301e2c?pvs=21),2000,20,0.093,1.86
泰式傳統咖啡-白砂糖,100,泰式傳統咖啡 (https://www.notion.so/237fd5adc30b8013ae31f9121dde26f5?pvs=21),白砂糖 (https://www.notion.so/237fd5adc30b8018a0cde4b20fd93373?pvs=21),3000,30,0.037,1.11
泰式傳統咖啡-咖啡豆,0,泰式傳統咖啡 (https://www.notion.so/237fd5adc30b8013ae31f9121dde26f5?pvs=21),咖啡豆 (https://www.notion.so/237fd5adc30b801098c4d225c82905e0?pvs=21),0,24,0,0
煉乳檸檬-檸檬汁,53,煉乳檸檬 (https://www.notion.so/237fd5adc30b80e78989d2fa911575bd?pvs=21),檸檬汁 (https://www.notion.so/237fd5adc30b8055a1c3ef43c5dd436d?pvs=21),1600,30,0.156,4.68
煉乳檸檬-煉乳,40,煉乳檸檬 (https://www.notion.so/237fd5adc30b80e78989d2fa911575bd?pvs=21),煉乳 (https://www.notion.so/237fd5adc30b809d93cac83ecc594312?pvs=21),2000,50,0.09,4.5
煉乳檸檬-白砂糖,100,煉乳檸檬 (https://www.notion.so/237fd5adc30b80e78989d2fa911575bd?pvs=21),白砂糖 (https://www.notion.so/237fd5adc30b8018a0cde4b20fd93373?pvs=21),3000,30,0.037,1.11
煉乳檸檬-水,1000,煉乳檸檬 (https://www.notion.so/237fd5adc30b80e78989d2fa911575bd?pvs=21),水 (https://www.notion.so/237fd5adc30b80389212cdf897237122?pvs=21),200000,200,0.001,0.2
檸檬汁-檸檬汁,40,檸檬汁 (https://www.notion.so/237fd5adc30b80adb680e147809db43e?pvs=21),檸檬汁 (https://www.notion.so/237fd5adc30b8055a1c3ef43c5dd436d?pvs=21),1600,40,0.156,6.24
檸檬汁-水,1000,檸檬汁 (https://www.notion.so/237fd5adc30b80adb680e147809db43e?pvs=21),水 (https://www.notion.so/237fd5adc30b80389212cdf897237122?pvs=21),200000,200,0.001,0.2
檸檬汁-白砂糖,50,檸檬汁 (https://www.notion.so/237fd5adc30b80adb680e147809db43e?pvs=21),白砂糖 (https://www.notion.so/237fd5adc30b8018a0cde4b20fd93373?pvs=21),3000,60,0.037,2.22
炸物醬(紅)-紅蔥頭,35,炸物醬(紅) (https://www.notion.so/237fd5adc30b806ba69bf7aabf3c249e?pvs=21),紅葱穗 (https://www.notion.so/237fd5adc30b804c950fd31a3d27e9c5?pvs=21),700,20,0.167,3.34
炸物醬(紅)-蒜仁,30,炸物醬(紅) (https://www.notion.so/237fd5adc30b806ba69bf7aabf3c249e?pvs=21),蒜仁 (https://www.notion.so/237fd5adc30b80bc94e9cc31471d8928?pvs=21),600,20,0.167,3.34
炸物醬(紅)-白砂糖,60,炸物醬(紅) (https://www.notion.so/237fd5adc30b806ba69bf7aabf3c249e?pvs=21),白砂糖 (https://www.notion.so/237fd5adc30b8018a0cde4b20fd93373?pvs=21),3000,50,0.037,1.85
炸物醬(紅)-檸檬汁,32,炸物醬(紅) (https://www.notion.so/237fd5adc30b806ba69bf7aabf3c249e?pvs=21),檸檬汁 (https://www.notion.so/237fd5adc30b8055a1c3ef43c5dd436d?pvs=21),1600,50,0.156,7.8
炸物醬(紅)-魚露,210,炸物醬(紅) (https://www.notion.so/237fd5adc30b806ba69bf7aabf3c249e?pvs=21),魚露 (https://www.notion.so/237fd5adc30b804ea6f1c2bc6324a158?pvs=21),2100,10,0.06,0.6
炸物醬(紅)-泰式酸辣醬,20,炸物醬(紅) (https://www.notion.so/237fd5adc30b806ba69bf7aabf3c249e?pvs=21),泰式辣椒醬 (https://www.notion.so/237fd5adc30b808dbacdd235293637b1?pvs=21),400,20,0.478,9.56
炸物醬(紅)-醋,200,炸物醬(紅) (https://www.notion.so/237fd5adc30b806ba69bf7aabf3c249e?pvs=21),醋 (https://www.notion.so/237fd5adc30b8027a093ef2a8b7acdbd?pvs=21),2000,10,0.05,0.5
炸物醬(紅)-水,1000,炸物醬(紅) (https://www.notion.so/237fd5adc30b806ba69bf7aabf3c249e?pvs=21),水 (https://www.notion.so/237fd5adc30b80389212cdf897237122?pvs=21),200000,200,0.001,0.2
海鮮醬(綠)-香菜,3,海鮮醬(綠) (https://www.notion.so/237fd5adc30b802696b6c8b4cd764401?pvs=21),香菜 (https://www.notion.so/237fd5adc30b80999722d19341598b92?pvs=21),150,50,0.178,8.9
海鮮醬(綠)-檸檬汁,16,海鮮醬(綠) (https://www.notion.so/237fd5adc30b802696b6c8b4cd764401?pvs=21),檸檬汁 (https://www.notion.so/237fd5adc30b8055a1c3ef43c5dd436d?pvs=21),1600,100,0.156,15.6
海鮮醬(綠)-蒜仁,7,海鮮醬(綠) (https://www.notion.so/237fd5adc30b802696b6c8b4cd764401?pvs=21),蒜仁 (https://www.notion.so/237fd5adc30b80bc94e9cc31471d8928?pvs=21),600,80,0.167,13.36
海鮮醬(綠)-魚露,70,海鮮醬(綠) (https://www.notion.so/237fd5adc30b802696b6c8b4cd764401?pvs=21),魚露 (https://www.notion.so/237fd5adc30b804ea6f1c2bc6324a158?pvs=21),2100,30,0.06,1.8
海鮮醬(綠)-白砂糖,60,海鮮醬(綠) (https://www.notion.so/237fd5adc30b802696b6c8b4cd764401?pvs=21),白砂糖 (https://www.notion.so/237fd5adc30b8018a0cde4b20fd93373?pvs=21),3000,50,0.037,1.85
海鮮醬(綠)-糯米椒,6,海鮮醬(綠) (https://www.notion.so/237fd5adc30b802696b6c8b4cd764401?pvs=21),糯米椒 (https://www.notion.so/237fd5adc30b803d9f8be9a3b4948d12?pvs=21),600,100,0,0
海鮮醬(綠)-鬼椒,10,海鮮醬(綠) (https://www.notion.so/237fd5adc30b802696b6c8b4cd764401?pvs=21),鬼椒 (https://www.notion.so/237fd5adc30b802faa8df808d8bd59b5?pvs=21),100,10,0.267,2.67
烤物醬(棕)-魚露,70,烤物醬(棕) (https://www.notion.so/237fd5adc30b8023833ce16606170da5?pvs=21),魚露 (https://www.notion.so/237fd5adc30b804ea6f1c2bc6324a158?pvs=21),2100,30,0.06,1.8
烤物醬(棕)-羅望子,22,烤物醬(棕) (https://www.notion.so/237fd5adc30b8023833ce16606170da5?pvs=21),羅望子 (https://www.notion.so/237fd5adc30b80a7bc16c80d0a520b4a?pvs=21),1360,60,0.159,9.54
烤物醬(棕)-檸檬汁,53,烤物醬(棕) (https://www.notion.so/237fd5adc30b8023833ce16606170da5?pvs=21),檸檬汁 (https://www.notion.so/237fd5adc30b8055a1c3ef43c5dd436d?pvs=21),1600,30,0.156,4.68
烤物醬(棕)-白砂糖,60,烤物醬(棕) (https://www.notion.so/237fd5adc30b8023833ce16606170da5?pvs=21),白砂糖 (https://www.notion.so/237fd5adc30b8018a0cde4b20fd93373?pvs=21),3000,50,0.037,1.85
烤物醬(棕)-辣椒粉,0,烤物醬(棕) (https://www.notion.so/237fd5adc30b8023833ce16606170da5?pvs=21),辣椒粉 (https://www.notion.so/237fd5adc30b80b68f29d1d42b2f837c?pvs=21),0,5,0.273,1.365
烤物醬(棕)-紅蔥頭,140,烤物醬(棕) (https://www.notion.so/237fd5adc30b8023833ce16606170da5?pvs=21),紅葱穗 (https://www.notion.so/237fd5adc30b804c950fd31a3d27e9c5?pvs=21),700,5,0.167,0.835
烤物醬(棕)-香菜,30,烤物醬(棕) (https://www.notion.so/237fd5adc30b8023833ce16606170da5?pvs=21),香菜 (https://www.notion.so/237fd5adc30b80999722d19341598b92?pvs=21),150,5,0.178,0.89
