名稱,元/100g,食材單位成本,食譜組成,重量,總物料成本,總可製作份數,可製作半成品重量,實際庫存量,動態庫存量,安全庫存量
海鮮醬(綠),10.519047619,0.10519047619,"海鮮醬(綠)-香菜 (https://www.notion.so/237fd5adc30b8087ac98c44d4b562065?pvs=21), 海鮮醬(綠)-檸檬汁 (https://www.notion.so/237fd5adc30b8041afebf7d0aaa96c24?pvs=21), 海鮮醬(綠)-蒜仁 (https://www.notion.so/237fd5adc30b80f3a479ceae8f94f3fc?pvs=21), 海鮮醬(綠)-魚露 (https://www.notion.so/237fd5adc30b80b5aa94fff87eac8900?pvs=21), 海鮮醬(綠)-白砂糖 (https://www.notion.so/237fd5adc30b80508cbfefa1082f43cb?pvs=21), 海鮮醬(綠)-糯米椒 (https://www.notion.so/237fd5adc30b80d697c1cfd5e5aa7658?pvs=21), 海鮮醬(綠)-鬼椒 (https://www.notion.so/237fd5adc30b80fda33eca38561d12f9?pvs=21)",420,44.18,3,1260,0,1260,
烤物醬(棕),11.6894736842,0.116894736842,"烤物醬(棕)-魚露 (https://www.notion.so/237fd5adc30b801ab11ff87d2f70e217?pvs=21), 烤物醬(棕)-羅望子 (https://www.notion.so/237fd5adc30b804b9297e1b2b582b6c9?pvs=21), 烤物醬(棕)-檸檬汁 (https://www.notion.so/237fd5adc30b800ca89bc1bd8a9fc24b?pvs=21), 烤物醬(棕)-白砂糖 (https://www.notion.so/237fd5adc30b80e8a0f5e58c908b8518?pvs=21), 烤物醬(棕)-辣椒粉 (https://www.notion.so/237fd5adc30b8085a2cbc04b9d6e5422?pvs=21), 烤物醬(棕)-紅蔥頭 (https://www.notion.so/237fd5adc30b8089b9a9d1a807c6949b?pvs=21), 烤物醬(棕)-香菜 (https://www.notion.so/237fd5adc30b806499d2fcfa32691223?pvs=21), 烤物醬(棕)-青蔥 (https://www.notion.so/237fd5adc30b80c8a11cfee173ee6762?pvs=21)",190,22.21,0,0,0,0,
茉莉香米,5.1,0.051,茉莉香米-米 (https://www.notion.so/238fd5adc30b80ba9927cbf0a3c05640?pvs=21),75,3.825,200,15000,0,15000,
配菜組(主),11.3619047619,0.113619047619,"配菜組-小黃瓜 (https://www.notion.so/238fd5adc30b80fe95bcf870771e72c6?pvs=21), 配菜組-地瓜 (https://www.notion.so/238fd5adc30b80908ba6c677552e4cfe?pvs=21), 配菜組-小番茄 (https://www.notion.so/238fd5adc30b8022a02ae99329428463?pvs=21), 配菜組-青花菜 (https://www.notion.so/238fd5adc30b801eace1f6e3e0094f3d?pvs=21), 配菜組-白花菜 (https://www.notion.so/238fd5adc30b80889ae1cef9afcd936f?pvs=21)",105,11.93,20,2100,0,2100,
泰式炸蛋,7.2,0.072,泰式炸蛋-雞蛋 (https://www.notion.so/238fd5adc30b8093b168d88a66e3e904?pvs=21),65,4.68,76,4940,0,4940,
剝殼白蝦,40,0.4,剝殼白蝦-白蝦 (https://www.notion.so/238fd5adc30b8062aa18fc48e494503d?pvs=21),120,48,16,1920,0,1920,
切片雞胸肉,14.2,0.142,切片雞胸肉-雞胸肉 (https://www.notion.so/238fd5adc30b80f39471df7376ddd6b7?pvs=21),60,8.52,100,6000,500,6500,
醃製牛柳,30,0.3,醃製牛柳-牛柳 (https://www.notion.so/238fd5adc30b80219681c4d28d9e10d6?pvs=21),60,18,50,3000,500,3500,
生菜,22.1,0.221,生菜-蘿蔓美生 (https://www.notion.so/238fd5adc30b8016ba32e31e9c00c983?pvs=21),20,4.42,22,440,0,440,
椰奶糖漿,15.1230769231,0.151230769231,"椰奶糖漿-椰漿粉 (https://www.notion.so/238fd5adc30b80ef9360f8f58e38f336?pvs=21), 椰奶糖漿-水 (https://www.notion.so/238fd5adc30b80c59a21f2ec3a9b1b60?pvs=21), 椰奶糖漿-白砂糖 (https://www.notion.so/238fd5adc30b80fb97e4c19f257a74e0?pvs=21)",130,19.66,0,0,0,0,
仙草凍,0.247826087,0.00247826087,"仙草凍-仙草粉 (https://www.notion.so/238fd5adc30b80a1abe0dfd9182edce0?pvs=21), 仙草凍-水 (https://www.notion.so/238fd5adc30b801ea110e4fe693f0f9c?pvs=21), 仙草凍-白砂糖 (https://www.notion.so/238fd5adc30b809582aece1cc35022c0?pvs=21)",1380,3.42,1,1380,600,1980,
花生粉,17.2,0.172,"花生粉-花生仁 (https://www.notion.so/238fd5adc30b80008617e85158120bb2?pvs=21), 花生粉-白砂糖 (https://www.notion.so/238fd5adc30b80cfbf2edd838a0b4ad5?pvs=21)",400,68.8,2,800,200,1000,
