名稱,元/100g,食材單位成本,食譜組成,重量,總物料成本,總可製作份數,可製作半成品重量,實際庫存量,動態庫存量,安全庫存量
經典紅咖哩醬,13.2395209581,0.132395209581,"經典紅咖哩醬-紅蔥頭 (https://www.notion.so/237fd5adc30b80ae9cacf5c132db3802?pvs=21), 經典紅咖哩醬-蒜仁 (https://www.notion.so/237fd5adc30b801fae6ed6275cb1f90c?pvs=21), 經典紅咖哩醬-紅咖哩醬 (https://www.notion.so/237fd5adc30b8052a603f8185ffc42ad?pvs=21), 經典紅咖哩醬-菜豆 (https://www.notion.so/237fd5adc30b8075b84ad54129459cd1?pvs=21), 經典紅咖哩醬-椰漿粉 (https://www.notion.so/237fd5adc30b80df81bdd1919edf53e2?pvs=21), 經典紅咖哩醬-白砂糖 (https://www.notion.so/237fd5adc30b807d933dd91a9e1ba2c1?pvs=21), 經典紅咖哩醬-杏鮑菇 (https://www.notion.so/237fd5adc30b8039b1cbe37cf4874378?pvs=21), 經典紅咖哩醬-竹筍 (https://www.notion.so/237fd5adc30b8048a6f1df7d1babd7a3?pvs=21), 經典紅咖哩醬-洋蔥 (https://www.notion.so/237fd5adc30b80da8bbeebc6764bc2d7?pvs=21), 經典紅咖哩醬-牛肉粉 (https://www.notion.so/237fd5adc30b805cbe8de6a1e7eab485?pvs=21), 經典紅咖哩醬-魚露 (https://www.notion.so/237fd5adc30b80ba9269ef8865c638c2?pvs=21), 經典紅咖哩醬-檸檬葉 (https://www.notion.so/237fd5adc30b80cb9c52e291157922b7?pvs=21), 經典紅咖哩醬-南薑 (https://www.notion.so/237fd5adc30b80df9ea5ffa71d693559?pvs=21), 經典紅咖哩醬-水 (https://www.notion.so/237fd5adc30b808e8205f7fd732624f4?pvs=21)",1670,221.10000000000002,0,0,1600,1600,
經典綠咖哩醬,11.1308641975,0.111308641975,"經典綠咖哩醬-綠咖哩醬 (https://www.notion.so/237fd5adc30b8007aac6ddafe41bfa65?pvs=21), 經典綠咖哩醬-紅蔥頭 (https://www.notion.so/237fd5adc30b80b1972add674b8ab033?pvs=21), 經典綠咖哩醬-蒜仁 (https://www.notion.so/237fd5adc30b806481f7eaed66dacc5b?pvs=21), 經典綠咖哩醬-木耳 (https://www.notion.so/237fd5adc30b8026967dc5684bb1bfde?pvs=21), 經典綠咖哩醬-杏鮑菇 (https://www.notion.so/237fd5adc30b802d9029e572a5b6c103?pvs=21), 經典綠咖哩醬-紅糖 (https://www.notion.so/237fd5adc30b806f9ebafdf8a741ef56?pvs=21), 經典綠咖哩醬-椰漿粉 (https://www.notion.so/237fd5adc30b80d9b238f3db6ea9e5ac?pvs=21), 經典綠咖哩醬-雞粉 (https://www.notion.so/237fd5adc30b8068b4edfecf2014f755?pvs=21), 經典綠咖哩醬-南薑乾 (https://www.notion.so/237fd5adc30b80ca98b5f4e8d59b9e35?pvs=21), 經典綠咖哩醬-檸檬葉乾 (https://www.notion.so/237fd5adc30b80f98713df65c43bbe86?pvs=21), 經典綠咖哩醬-水 (https://www.notion.so/237fd5adc30b808db5a8f03233a4171e?pvs=21), 經典綠咖哩醬-竹筍 (https://www.notion.so/237fd5adc30b80c48057c9b912e0e462?pvs=21), 經典綠咖哩醬-洋蔥 (https://www.notion.so/237fd5adc30b808a80c2d4743b497961?pvs=21), 經典綠咖哩醬-魚露 (https://www.notion.so/237fd5adc30b8071a047e4ae0025c86a?pvs=21)",1620,180.32000000000002,1,1620,0,1620,
舒肥薑黃咖喱雞,14.746373057,0.14746373057,"舒肥薑黃咖喱雞-紅糖 (https://www.notion.so/237fd5adc30b80f6ab09c736922507fc?pvs=21), 舒肥薑黃咖喱雞-雞胸肉 (https://www.notion.so/237fd5adc30b8024b047d4d030fff3c9?pvs=21), 舒肥薑黃咖喱雞-檸檬葉 (https://www.notion.so/237fd5adc30b8012a03fcfb167f7f3bc?pvs=21), 舒肥薑黃咖喱雞-魚露 (https://www.notion.so/237fd5adc30b802ea547ebebb2ecabab?pvs=21), 舒肥薑黃咖喱雞-椰漿粉 (https://www.notion.so/237fd5adc30b8013adbbdd9776f9f4c8?pvs=21), 舒肥薑黃咖喱雞-水 (https://www.notion.so/237fd5adc30b805cb3abc73787f78381?pvs=21), 舒肥薑黃咖喱雞-黃咖哩 (https://www.notion.so/237fd5adc30b80d18b5fdd0799f6f1c1?pvs=21), 舒肥薑黃咖喱雞-薑黃粉 (https://www.notion.so/237fd5adc30b804c9097e00607acfba8?pvs=21)",7720,1138.4199999999998,0,0,0,0,
泰南烤雞,14.0668683812,0.140668683812,"泰南烤雞-美極鮮味露 (https://www.notion.so/237fd5adc30b80cc84a9d6330e4f7e70?pvs=21), 泰南烤雞-魚露 (https://www.notion.so/237fd5adc30b801f926bc5b92665daae?pvs=21), 泰南烤雞-芫荽子 (https://www.notion.so/237fd5adc30b80929536c0ce7104732a?pvs=21), 泰南烤雞-雞粉 (https://www.notion.so/237fd5adc30b80869f79f8b0ebe65e03?pvs=21), 泰南烤雞-雞胸肉 (https://www.notion.so/237fd5adc30b80a6b7f3e3249975810e?pvs=21), 泰南烤雞-白胡椒 (https://www.notion.so/237fd5adc30b80fe81a1e01319f6215a?pvs=21), 泰南烤雞-蒜酥 (https://www.notion.so/237fd5adc30b8033ac87f45fc64fd5d8?pvs=21), 泰南烤雞-白砂糖 (https://www.notion.so/237fd5adc30b8045b343f431c6e1346a?pvs=21)",6610,929.8199999999999,0,0,0,0,
茉莉豬頸肉,38.0515283843,0.380515283843,"茉莉豬頸肉-松板肉 (https://www.notion.so/237fd5adc30b80c49542c5656ea5a200?pvs=21), 茉莉豬頸肉-芫荽子 (https://www.notion.so/237fd5adc30b805baf79ff97df516819?pvs=21), 茉莉豬頸肉-蒜酥 (https://www.notion.so/237fd5adc30b80778bb8e2d3c66a1b2c?pvs=21), 茉莉豬頸肉-奶水 (https://www.notion.so/237fd5adc30b80638cfdcc371e19a076?pvs=21), 茉莉豬頸肉-雞粉 (https://www.notion.so/237fd5adc30b807bb963f3f501287123?pvs=21), 茉莉豬頸肉-白胡椒 (https://www.notion.so/237fd5adc30b80d39b95d8f8921237a2?pvs=21), 茉莉豬頸肉-黑胡椒 (https://www.notion.so/237fd5adc30b80a2896ff593e478d081?pvs=21), 茉莉豬頸肉-鹽 (https://www.notion.so/237fd5adc30b80a08d5de0aee5423b71?pvs=21), 茉莉豬頸肉-紅糖 (https://www.notion.so/237fd5adc30b805a95e4e5f40db8a974?pvs=21)",6870,2614.1399999999994,0,0,0,0,
鹽味翅小腿,9.9525057826,0.099525057826,"鹽味翅小腿-香茅 (https://www.notion.so/237fd5adc30b80c395b7f7572aff2579?pvs=21), 鹽味翅小腿-蒜仁 (https://www.notion.so/237fd5adc30b80a6881acdf0b8fc9445?pvs=21), 鹽味翅小腿-紅蔥頭 (https://www.notion.so/237fd5adc30b80139bd8dd103d00a850?pvs=21), 鹽味翅小腿-紅糖 (https://www.notion.so/237fd5adc30b804d9492eee4f79840ab?pvs=21), 鹽味翅小腿-魚露 (https://www.notion.so/237fd5adc30b8035b662d516ac5bc25d?pvs=21), 鹽味翅小腿-雞粉 (https://www.notion.so/237fd5adc30b80338308fb9cf71ad9fc?pvs=21), 鹽味翅小腿-黑胡椒 (https://www.notion.so/237fd5adc30b803ea583ce487c2b19cc?pvs=21), 鹽味翅小腿-翅小腿 (https://www.notion.so/237fd5adc30b801a83edd9a245832e4f?pvs=21)",6485,645.42,0,0,4800,4800,
早餐豬肉丸,15.9615384615,0.159615384615,"早餐豬肉丸-豬絞肉 (https://www.notion.so/237fd5adc30b80ebb5fff66ad6f9232c?pvs=21), 早餐豬肉丸-美極鮮味露 (https://www.notion.so/237fd5adc30b809d8c90d7d0c5408d88?pvs=21), 早餐豬肉丸-魚露 (https://www.notion.so/237fd5adc30b8067a299cf3dfef8591c?pvs=21), 早餐豬肉丸-白胡椒 (https://www.notion.so/237fd5adc30b80498011cd7c9893db1f?pvs=21), 早餐豬肉丸-紅糖 (https://www.notion.so/237fd5adc30b8056a53ccae7a7178503?pvs=21)",286,45.65,12,3432,0,3432,
酸辣湯底,3.5573471009,0.035573471009,"酸辣湯底-檸檬汁 (https://www.notion.so/237fd5adc30b80479375c836e8056343?pvs=21), 酸辣湯底-番茄 (https://www.notion.so/237fd5adc30b80bbb00bc4891df156cf?pvs=21), 酸辣湯底-羅望子 (https://www.notion.so/237fd5adc30b801ba8fbd1fac6e3b224?pvs=21), 酸辣湯底-辣椒膏 (https://www.notion.so/237fd5adc30b80f0a6ffc430c4fd35ea?pvs=21), 酸辣湯底-水 (https://www.notion.so/237fd5adc30b808bb9aae04ac9615991?pvs=21), 酸辣湯底-洋蔥 (https://www.notion.so/237fd5adc30b809fa9cddf7cb6f56a91?pvs=21), 酸辣湯底-味精 (https://www.notion.so/237fd5adc30b808cb839dd97140592ab?pvs=21), 酸辣湯底-紅糖 (https://www.notion.so/237fd5adc30b803f902fe0e337e75658?pvs=21), 酸辣湯底-蒜仁 (https://www.notion.so/237fd5adc30b80b08db4f7b7926535f1?pvs=21), 酸辣湯底-香茅乾 (https://www.notion.so/237fd5adc30b80a5a214e3589a0a197c?pvs=21), 酸辣湯底-大辣椒 (https://www.notion.so/237fd5adc30b80de8732e4e9a6680853?pvs=21), 酸辣湯底-檸檬葉乾 (https://www.notion.so/237fd5adc30b80229743ff802ae7d56c?pvs=21), 酸辣湯底-南薑乾 (https://www.notion.so/237fd5adc30b801ea590fafb17be221f?pvs=21), 酸辣湯底-魚露 (https://www.notion.so/237fd5adc30b80d89111f49609de65da?pvs=21), 酸辣湯底-酸辣湯塊 (https://www.notion.so/237fd5adc30b80da9463fa17a069ac90?pvs=21)",6295,223.93499999999997,0,0,0,0,
泰式奶茶,3.7440677966,0.037440677966,"泰式奶茶-紅茶粉 (https://www.notion.so/237fd5adc30b8020b846c97b99408883?pvs=21), 泰式奶茶-煉乳 (https://www.notion.so/237fd5adc30b807482cbd8958a638079?pvs=21), 泰式奶茶-奶水 (https://www.notion.so/237fd5adc30b80f6823efd30567d38c2?pvs=21), 泰式奶茶-白砂糖 (https://www.notion.so/237fd5adc30b80e79592c46fe2a883a1?pvs=21), 泰式奶茶-水 (https://www.notion.so/237fd5adc30b8046bc84e1a3fd7972b4?pvs=21)",295,11.044999999999998,53,15635,0,15635,
炸春捲,12.6823885008,0.126823885008,"炸春捲-芋頭 (https://www.notion.so/237fd5adc30b809aab2eeeb0ccdad2e8?pvs=21), 炸春捲-豬絞肉 (https://www.notion.so/237fd5adc30b80f29b9cd5960a55d86d?pvs=21), 炸春捲-洋蔥 (https://www.notion.so/237fd5adc30b8011b7c6db980ed05ead?pvs=21), 炸春捲-青蔥 (https://www.notion.so/237fd5adc30b8070877ac94e0f62d109?pvs=21), 炸春捲-紅糖 (https://www.notion.so/237fd5adc30b80a0a02ec23c2848a993?pvs=21), 炸春捲-魚露 (https://www.notion.so/237fd5adc30b80ecac4ed4991470bea8?pvs=21), 炸春捲-黑胡椒 (https://www.notion.so/237fd5adc30b8066b99ede017547b997?pvs=21), 炸春捲-鹽 (https://www.notion.so/237fd5adc30b80f78ebfe0955bfa9a36?pvs=21), 炸春捲-春捲皮 (https://www.notion.so/237fd5adc30b802bba51e7255fb679b0?pvs=21)",1488.8,188.8154,0,0,0,0,
