無法供應,餐點名稱,成本,價格,庫存量,安全庫存量,可供應庫存量,餐點類型,過敏原,推薦,餐點介紹,辣度,辣度選項,冰量選項,甜度選項,製作方式,製作地點,菜單組成項目
No,牛肉帕泰,67.22525044561499,210,,,13,主餐,,No,使用牛肉與經典帕泰，風味十足。,不辣,"中辣, 大辣, 小辣",,,炒,廚房,"牛肉帕泰-料 (https://www.notion.so/238fd5adc30b8003ada0e0be46919411?pvs=21), 牛肉帕泰-醬 (https://www.notion.so/238fd5adc30b80d0bfabf1df18369023?pvs=21), 牛肉帕泰-肉 (https://www.notion.so/238fd5adc30b808aae59f255e1c4a5d6?pvs=21), 牛肉帕泰-配菜 (https://www.notion.so/238fd5adc30b80a09d60ce19ae87a938?pvs=21), 牛肉帕泰-粉 (https://www.notion.so/238fd5adc30b808c8cdaf3c89e2812e0?pvs=21), 牛肉帕泰-檸檬角 (https://www.notion.so/238fd5adc30b807d8508ed5dc2c818a4?pvs=21)"
No,焦香帕泰,49.22525044561499,170,,,13,主餐,,No,品牌創始原味配方，無改動的經典。,不辣,"中辣, 大辣, 小辣",,,炒,廚房,"焦香帕泰-料 (https://www.notion.so/238fd5adc30b80cd81b9f96ccd1e4d8c?pvs=21), 焦香帕泰-醬 (https://www.notion.so/238fd5adc30b80e5bb37e761e8cff276?pvs=21), 焦香帕泰-配菜 (https://www.notion.so/238fd5adc30b805983f8c15b2cac9016?pvs=21), 焦香帕泰-粉 (https://www.notion.so/238fd5adc30b8060902af00073d16a0d?pvs=21), 焦香帕泰-檸檬角 (https://www.notion.so/238fd5adc30b80e0a974ccb63ff865c4?pvs=21)"
No,打拋雞飯,23.995516605154997,220,,,20,主餐,,No,以雞肉製作的打拋風味，香辣開胃。,小辣,"中辣, 大辣",,,炒,廚房,"打拋雞飯-醬 (https://www.notion.so/238fd5adc30b801db7b4d0d7c552a69c?pvs=21), 打拋雞飯-米 (https://www.notion.so/238fd5adc30b807c82cbf4aa3a47e5dd?pvs=21), 打拋雞飯-蛋 (https://www.notion.so/238fd5adc30b804aad7af06553f462a0?pvs=21), 打拋雞飯-配菜 (https://www.notion.so/238fd5adc30b80be9668ee155e6d10ea?pvs=21)"
No,打拋豬飯,23.995516605154997,220,,,20,主餐,,No,經典打拋豬搭配泰式炸蛋與香米，鹹香夠味。,小辣,"中辣, 大辣",,,炒,廚房,"打拋豬飯-醬 (https://www.notion.so/238fd5adc30b80d48ba0e2b248d8c067?pvs=21), 打拋豬飯-米 (https://www.notion.so/238fd5adc30b80f59d20fb96ac42d0cf?pvs=21), 打拋豬飯-蛋 (https://www.notion.so/238fd5adc30b8047b08ef85956f00b94?pvs=21), 打拋豬飯-配菜 (https://www.notion.so/238fd5adc30b80c28169e75441e1c814?pvs=21)"
No,煉乳檸檬,10.1516129031,90,,,41,飲品,,No,新鮮檸檬搭配煉乳，冰涼消暑。,,,"去冰, 少冰, 正常冰","半糖, 多醣, 正常",飲料,吧台,煉乳檸檬 (https://www.notion.so/238fd5adc30b80e29aa5ec3096a5a4b5?pvs=21)
No,泰式檸檬茶,12.0737704917,90,,,50,飲品,,No,茶香融合檸檬酸甜，清爽解膩。,,,"去冰, 少冰, 正常冰","半糖, 多醣, 正常, 無糖",飲料,吧台,泰式檸檬茶 (https://www.notion.so/238fd5adc30b802283e8ebb4756f06e5?pvs=21)
No,泰式奶茶,11.2322033898,90,,,52,飲品,,No,濃厚茶味與煉乳完美融合的經典泰奶。,,,"去冰, 少冰, 正常冰","半糖, 正常",飲料,吧台,泰式奶茶 (https://www.notion.so/238fd5adc30b80a0a2dbdfea5ba60cfc?pvs=21)
No,泰式奶綠,15.1220338983,90,,,64,飲品,,No,獨特風味的濃厚泰式奶綠。,,,"去冰, 少冰, 正常冰","半糖, 正常",飲料,吧台,泰式奶綠 (https://www.notion.so/238fd5adc30b80a1970dcad477e7eac3?pvs=21)
No,國寶茶,3.15,50,,,22,飲品,,No,無咖啡因國寶茶，香氣溫潤。,,,"去冰, 少冰, 正常冰, 熱","半糖, 多醣, 正常, 無糖",飲料,吧台,國寶茶 (https://www.notion.so/238fd5adc30b80a7b1fadf323bb4df16?pvs=21)
No,茉莉香米飯,3.825,20,,,200,加點,,No,使用泰國認證茉莉香米，香氣細緻。,,,,,冷盤,廚房,茉莉香米 (https://www.notion.so/238fd5adc30b8001b859d77323bc113c?pvs=21)
