進貨單號,採購項目,供應商,進貨日期,發票總額,負責人,備註,狀態
菜商0723,"花生仁 (https://www.notion.so/238fd5adc30b80d099a0dfaaebf3e45a?pvs=21), 韭菜 (https://www.notion.so/238fd5adc30b80259912e6471d9d50c9?pvs=21), 大辣椒 (https://www.notion.so/238fd5adc30b8042938cf836febd79fd?pvs=21), 菜豆 (https://www.notion.so/238fd5adc30b80dd9ccbd97a6672d868?pvs=21), 豆芽菜 (https://www.notion.so/238fd5adc30b8023824eca064ec3ac54?pvs=21), 菜脯 (https://www.notion.so/238fd5adc30b80c687aae5475dac47c8?pvs=21), 無子檸檬 (https://www.notion.so/238fd5adc30b8065ab6eef3edb549967?pvs=21), 糯米椒 (https://www.notion.so/238fd5adc30b80fb93b8e711d3b3ff6c?pvs=21), 小黃瓜 (https://www.notion.so/238fd5adc30b808c8c0fea9d17908ea5?pvs=21), 紅葱穗 (https://www.notion.so/238fd5adc30b80959934f75c2fe23f12?pvs=21), 高麗菜 (https://www.notion.so/238fd5adc30b808690d2fc323ffedc4b?pvs=21), 小番茄 (https://www.notion.so/238fd5adc30b80ff9e5bf4cb3d1d39dd?pvs=21), 空心菜 (https://www.notion.so/238fd5adc30b80b89a45c266e08e4907?pvs=21), 洋蔥 (https://www.notion.so/238fd5adc30b8045b0cef3a904a59a4e?pvs=21), 白花菜 (https://www.notion.so/238fd5adc30b808f9269f4edefccad70?pvs=21), 青花菜 (https://www.notion.so/238fd5adc30b80768ed9d9b5fdd25c99?pvs=21)",CS (https://www.notion.so/CS-237fd5adc30b80d2a644d3123a2c8aa1?pvs=21),,,,,已到貨
東莉0723,"二節翅 (https://www.notion.so/238fd5adc30b80399e1ef4458b774b9b?pvs=21), 雞塊 (https://www.notion.so/238fd5adc30b800489a5d15713294442?pvs=21), 玉米塊 (https://www.notion.so/238fd5adc30b80539fc5d478f618955a?pvs=21)",DL (https://www.notion.so/DL-237fd5adc30b80c89eb3ebead8c70904?pvs=21),,,,,已到貨
